index,Missing Count
Timestamp,0
เพศ,0
อายุ,0
อาชีพ,0
ระดับการศึกษาสูงสุด,0
รายได้ของคุณต่อเดือน,0
"โปรดพิมพ์จังหวัดที่อยู่อาศัยของคุณ เช่น กทม , ขอนแก่น, ชลบุรี",0
คุณมีความสนใจในเรื่องใดบ้าง (เลือกได้หลายคำตอบ),0
คุณเห็นสื่อโฆษณาผ่านช่องทางใดบ้าง (เลือกได้หลายคำตอบ),0
คุณเห็นสื่อโฆษณาผ่านช่องทางใดบ่อยที่สุด,0
การรับชมโฆษณาผ่านช่องทางใดที่มีอิทธิพลต่อการตัดสินใจซื้อผลิตภัณฑ์ (เลือกได้หลายคำตอบ),0
ในการรับชมโฆษณา คุณคิดว่าโฆษณาผ่านช่องทางใดมีความน่าเชื่อถือ (เลือกได้หลายคำตอบ),0
ในการรับชมโฆษณา คุณคิดว่าโฆษณาผ่านช่องทางใดมีความน่าเชื่อถือมากที่สุด,0
คุณคิดว่าดารา/Presenter มีผลต่อการตัดสินใจซื้อสินค้าหรือไม่,0
ความถี่ในการเปิดรับสื่อในแต่ละช่องทางต่อสัปดาห์ [โทรทัศน์],0
ความถี่ในการเปิดรับสื่อในแต่ละช่องทางต่อสัปดาห์ [วิทยุ],0
ความถี่ในการเปิดรับสื่อในแต่ละช่องทางต่อสัปดาห์ [สื่อนอกบ้าน],0
ความถี่ในการเปิดรับสื่อในแต่ละช่องทางต่อสัปดาห์ [ออนไลน์],0
ระยะเวลาในการเสพสื่อต่อวัน ในแต่ละช่องทาง [โทรทัศน์],0
ระยะเวลาในการเสพสื่อต่อวัน ในแต่ละช่องทาง [วิทยุ],0
ระยะเวลาในการเสพสื่อต่อวัน ในแต่ละช่องทาง [สื่อนอกบ้าน],0
ระยะเวลาในการเสพสื่อต่อวัน ในแต่ละช่องทาง [ออนไลน์],0
ในวันจันทร์-ศุกร์ (Weekday) ช่วงเวลาใดที่คุณเปิดรับสื่อแต่ละช่องทาง [โทรทัศน์],0
ในวันจันทร์-ศุกร์ (Weekday) ช่วงเวลาใดที่คุณเปิดรับสื่อแต่ละช่องทาง [วิทยุ],0
ในวันจันทร์-ศุกร์ (Weekday) ช่วงเวลาใดที่คุณเปิดรับสื่อแต่ละช่องทาง [สื่อนอกบ้าน],0
ในวันจันทร์-ศุกร์ (Weekday) ช่วงเวลาใดที่คุณเปิดรับสื่อแต่ละช่องทาง [ออนไลน์],0
ในวันหยุดเสาร์-อาทิตย์ (Weekend) ช่วงเวลาใดที่คุณเปิดรับสื่อแต่ละช่องทาง [โทรทัศน์],0
ในวันหยุดเสาร์-อาทิตย์ (Weekend) ช่วงเวลาใดที่คุณเปิดรับสื่อแต่ละช่องทาง [วิทยุ],0
ในวันหยุดเสาร์-อาทิตย์ (Weekend) ช่วงเวลาใดที่คุณเปิดรับสื่อแต่ละช่องทาง [สื่อนอกบ้าน],0
ในวันหยุดเสาร์-อาทิตย์ (Weekend) ช่วงเวลาใดที่คุณเปิดรับสื่อแต่ละช่องทาง [ออนไลน์],0
คุณดูโทรทัศน์ช่องใดบ้าง (เลือกได้หลายคำตอบ),0
คุณดูโทรทัศน์ช่องไหนบ่อยที่สุด 5 อันดับแรก (เลือกไม่เกิน 5 คำตอบ),0
คุณดูรายการโทรทัศน์ประเภทใดบ้าง (เลือกได้หลายคำตอบ),0
คุณดูรายการโทรทัศน์ผ่านช่องทางไหนบ้าง (เลือกได้หลายคำตอบ),0
สื่อนอกบ้านประเภทไหนที่คุณเห็นโฆษณาเป็นประจำ (เลือกได้หลายคำตอบ),0
สื่อนอกบ้านประเภทไหนที่คุณเห็นโฆษณาเป็นประจำมากที่สุด,0
สื่อวิทยุคลื่นอะไรคุณฟังเป็นประจำมากที่สุด,0
คุณใช้โซเชียลมีเดียใดบ้าง (เลือกได้หลายคำตอบ),0
คุณใช้โซเชียลมีเดียใดบ่อยที่สุด,0
คุณดูวิดีโอ/ซีรีส์/หนัง จากแพลตฟอร์มใดบ้าง (เลือกได้หลายคำตอบ),0
คุณดูวิดีโอ/ซีรีส์/หนัง จากแพลตฟอร์มใดบ่อยที่สุด,0
คุณฟังเพลง/วิทยุ/รายการต่างๆ จากแพลตฟอร์มใดบ้าง (เลือกได้หลายคำตอบ),0
คุณฟังเพลง/วิทยุ/รายการต่างๆ จากแพลตฟอร์มใดบ่อยที่สุด,0
ในวันหยุดยาวหรือเทศกาล เช่น ช่วงสงกรานต์ คุณดูโทรทัศน์ อย่างไร,0
ในวันหยุดยาวหรือเทศกาล คุณใช้โซเชียลมีเดีย อย่างไร,0
ในวันหยุดยาวหรือเทศกาล คุณดูวิดีโอ/หนัง/ซีรีส์ อย่างไร,0
ในวันหยุดยาวหรือเทศกาล คุณฟังเพลง/วิทยุ อย่างไร,0
คุณดื่มกาแฟหรือไม่,0
คุณดื่มกาแฟประเภทใดบ้าง,63
คุณดื่มกาแฟประเภทใดบ่อยที่สุด,63
คุณชอบกาแฟประเภทใดมากที่สุด,63
คุณดื่มกาแฟพร้อมดื่ม (Ready to drink) แบรนด์ใดบ้าง (เลือกได้หลายคำตอบ),63
คุณดื่มกาแฟพร้อมดื่ม (Ready to drink) แบรนด์ใดบ่อยที่สุด,63
คุณดื่มกาแฟพร้อมดื่ม (Ready to drink) ในโอกาส/โมเมนต์ใดบ้าง (เลือกได้หลายคำตอบ),63
ในการดื่มกาแฟพร้อมดื่ม (Ready to drink) คุณให้ความสำคัญกับคุณสมบัติด้านล่างนี้มากน้อยเพียงใด (5 = สำคัญมากที่สุด) [รสชาติดีเหมือนกาแฟสด],63
ในการดื่มกาแฟพร้อมดื่ม (Ready to drink) คุณให้ความสำคัญกับคุณสมบัติด้านล่างนี้มากน้อยเพียงใด (5 = สำคัญมากที่สุด) [รสชาติเข้มข้น],63
ในการดื่มกาแฟพร้อมดื่ม (Ready to drink) คุณให้ความสำคัญกับคุณสมบัติด้านล่างนี้มากน้อยเพียงใด (5 = สำคัญมากที่สุด) [รสชาตินุ่มละมุน],63
ในการดื่มกาแฟพร้อมดื่ม (Ready to drink) คุณให้ความสำคัญกับคุณสมบัติด้านล่างนี้มากน้อยเพียงใด (5 = สำคัญมากที่สุด) [รสชาติเปรี้ยว],63
ในการดื่มกาแฟพร้อมดื่ม (Ready to drink) คุณให้ความสำคัญกับคุณสมบัติด้านล่างนี้มากน้อยเพียงใด (5 = สำคัญมากที่สุด) [กลิ่นหอมกาแฟ],63
ในการดื่มกาแฟพร้อมดื่ม (Ready to drink) คุณให้ความสำคัญกับคุณสมบัติด้านล่างนี้มากน้อยเพียงใด (5 = สำคัญมากที่สุด) [ต้องการความดีด/ตื่นตัวจากคาเฟอีน],63
ในการดื่มกาแฟพร้อมดื่ม (Ready to drink) คุณให้ความสำคัญกับคุณสมบัติด้านล่างนี้มากน้อยเพียงใด (5 = สำคัญมากที่สุด) [แหล่งที่มาของเมล็ดกาแฟ เช่น เมล็ดนำเข้า],63
ในการดื่มกาแฟพร้อมดื่ม (Ready to drink) คุณให้ความสำคัญกับคุณสมบัติด้านล่างนี้มากน้อยเพียงใด (5 = สำคัญมากที่สุด) [ความสะดวก/พกพาง่าย/ไม่เลอะเทอะ],63
ในการดื่มกาแฟพร้อมดื่ม (Ready to drink) คุณให้ความสำคัญกับคุณสมบัติด้านล่างนี้มากน้อยเพียงใด (5 = สำคัญมากที่สุด) [ประหยัดกว่ากินกาแฟสดตามร้าน],63
ในการดื่มกาแฟพร้อมดื่ม (Ready to drink) คุณให้ความสำคัญกับคุณสมบัติด้านล่างนี้มากน้อยเพียงใด (5 = สำคัญมากที่สุด) [มีฉลากเห็นข้อมูลโภชนาการ (Nutrition facts)],63
ในการดื่มกาแฟพร้อมดื่ม (Ready to drink) คุณให้ความสำคัญกับคุณสมบัติด้านล่างนี้มากน้อยเพียงใด (5 = สำคัญมากที่สุด) [แบรนด์ดัง น่าเชื่อถือ],63
ในการดื่มกาแฟพร้อมดื่ม (Ready to drink) คุณให้ความสำคัญกับคุณสมบัติด้านล่างนี้มากน้อยเพียงใด (5 = สำคัญมากที่สุด) [ภาพลักษณ์ดูดี ดูพรีเมียม],63
ในการดื่มกาแฟพร้อมดื่ม (Ready to drink) คุณให้ความสำคัญกับคุณสมบัติด้านล่างนี้มากน้อยเพียงใด (5 = สำคัญมากที่สุด) [แพ็คเกจ/ขวดสวย],63
คุณชอบดื่มกาแฟร้าน Cafe Amazon หรือไม่,63
สำหรับคนที่ชอบดื่มกาแฟ Cafe Amazon รบกวนเขียนเหตุผลที่ชอบดื่มสั้นๆ,125
สำหรับคนที่ไม่ชอบดื่มกาแฟ Cafe Amazon รบกวนเขียนเหตุผลที่ไม่ชอบดื่มสั้นๆ,127
คุณรู้จักกาแฟแบรนด์ใหม่จากที่สื่อบ้าง (เลือกได้หลายคำตอบ),63
ถ้ามีแบรนด์กาแฟพร้อมดื่ม (Ready to drink) ออกใหม่ คุณจะลองหรือไม่,63
บุคคลต่อไปนี้มีอิทธิพลในการซื้อกาแฟพร้อมดื่ม (Ready to drink) ของคุณ มากน้อยเพียงใด โปรดเรียงตามลำดับ โดยไม่ซ้ำกัน [รีวิวจากดารา],63
"บุคคลต่อไปนี้มีอิทธิพลในการซื้อกาแฟพร้อมดื่ม (Ready to drink) ของคุณ มากน้อยเพียงใด โปรดเรียงตามลำดับ โดยไม่ซ้ำกัน [รีวิวจากบล็อกเกอร์สายอาหารและเครื่องดื่ม เช่น กินหนม, ถนัดชิม]",63
"บุคคลต่อไปนี้มีอิทธิพลในการซื้อกาแฟพร้อมดื่ม (Ready to drink) ของคุณ มากน้อยเพียงใด โปรดเรียงตามลำดับ โดยไม่ซ้ำกัน [รีวิวจากบล็อกเกอร์สายกาแฟ เช่น บาริสต้า, Cafe hopper]",63
บุคคลต่อไปนี้มีอิทธิพลในการซื้อกาแฟพร้อมดื่ม (Ready to drink) ของคุณ มากน้อยเพียงใด โปรดเรียงตามลำดับ โดยไม่ซ้ำกัน [รีวิวจากบล็อกเกอร์สายไลฟ์สไตล์/บันเทิง เช่น เทพลีลา],63
บุคคลต่อไปนี้มีอิทธิพลในการซื้อกาแฟพร้อมดื่ม (Ready to drink) ของคุณ มากน้อยเพียงใด โปรดเรียงตามลำดับ โดยไม่ซ้ำกัน [เพื่อน ครอบครัว และคนใกล้ตัว],63
คุณซื้อกาแฟพร้อมดื่ม (Ready to drink) จากช่องทางใดบ้าง,63
คุณดื่มชาหรือไม่,0
คุณดื่มชาแบบใดบ้าง (เลือกได้หลายคำตอบ),38
คุณดื่มชาประเภทใดบ่อยที่สุด,38
คุณชอบดื่มชาประเภทใดมากที่สุด,38
จากตัวเลือกด้านบน รบกวนบอกเหตุผลสั้นๆ ทำไมคุณถึงชอบดื่มชาประเภทนั้นๆ (ชาแก้ว/ชาพร้อมดื่ม/ชงเอง),38
คุณดื่มชาพร้อมดื่ม แบรนด์ใดบ้าง (เลือกได้หลายคำตอบ),38
คุณดื่มชาพร้อมดื่ม (Ready to drink) แบรนด์ใดบ่อยที่สุด,38
คุณดื่มชาพร้อมดื่ม ในโอกาส/โมเมนต์ใดบ้าง (เลือกได้หลายคำตอบ),38
ในการดื่มชาพร้อมดื่ม (Ready to drink) คุณให้ความสำคัญกับคุณสมบัติด้านล่างนี้มากน้อยเพียงใด (5 = สำคัญมากที่สุด) [กลิ่นหอมใบชาเขียว],38
ในการดื่มชาพร้อมดื่ม (Ready to drink) คุณให้ความสำคัญกับคุณสมบัติด้านล่างนี้มากน้อยเพียงใด (5 = สำคัญมากที่สุด) [รสชาติชาเขียวเข้มข้น],38
ในการดื่มชาพร้อมดื่ม (Ready to drink) คุณให้ความสำคัญกับคุณสมบัติด้านล่างนี้มากน้อยเพียงใด (5 = สำคัญมากที่สุด) [ไม่เติมน้ำตาล/ไม่มีน้ำตาล],38
ในการดื่มชาพร้อมดื่ม (Ready to drink) คุณให้ความสำคัญกับคุณสมบัติด้านล่างนี้มากน้อยเพียงใด (5 = สำคัญมากที่สุด) [ไม่มีแคลอรี่ (0 kcal)],38
ในการดื่มชาพร้อมดื่ม (Ready to drink) คุณให้ความสำคัญกับคุณสมบัติด้านล่างนี้มากน้อยเพียงใด (5 = สำคัญมากที่สุด) [มีฉลากเห็นข้อมูลโภชนาการ (Nutrition facts)],38
ในการดื่มชาพร้อมดื่ม (Ready to drink) คุณให้ความสำคัญกับคุณสมบัติด้านล่างนี้มากน้อยเพียงใด (5 = สำคัญมากที่สุด) [แหล่งที่มาของใบชา เช่น ญี่ปุ่น],38
ในการดื่มชาพร้อมดื่ม (Ready to drink) คุณให้ความสำคัญกับคุณสมบัติด้านล่างนี้มากน้อยเพียงใด (5 = สำคัญมากที่สุด) [วิธีการชง/สกัดชาเขียว เช่น สกัดเย็น],38
ในการดื่มชาพร้อมดื่ม (Ready to drink) คุณให้ความสำคัญกับคุณสมบัติด้านล่างนี้มากน้อยเพียงใด (5 = สำคัญมากที่สุด) [ความสะดวก/พกพาง่าย/ไม่เลอะเทอะ],38
ในการดื่มชาพร้อมดื่ม (Ready to drink) คุณให้ความสำคัญกับคุณสมบัติด้านล่างนี้มากน้อยเพียงใด (5 = สำคัญมากที่สุด) [แบรนด์ดัง น่าเชื่อถือ],38
ในการดื่มชาพร้อมดื่ม (Ready to drink) คุณให้ความสำคัญกับคุณสมบัติด้านล่างนี้มากน้อยเพียงใด (5 = สำคัญมากที่สุด) [ภาพลักษณ์ดูดี ดูพรีเมียม],38
ในการดื่มชาพร้อมดื่ม (Ready to drink) คุณให้ความสำคัญกับคุณสมบัติด้านล่างนี้มากน้อยเพียงใด (5 = สำคัญมากที่สุด) [แพ็คเกจ/ขวดสวย],38
คุณรู้จักชาแบรนด์ใหม่จากที่สื่อบ้าง(เลือกได้หลายคำตอบ),38
ถ้ามีแบรนด์ชาพร้อมดื่ม (Ready to drink) ออกใหม่ คุณจะลองหรือไม่,38
บุคคลต่อไปนี้มีอิทธิพลในการซื้อชาพร้อมดื่ม (Ready to drink) ของคุณ มากน้อยเพียงใด โปรดเรียงตามลำดับ โดยไม่ซ้ำกัน [รีวิวจากดารา],38
"บุคคลต่อไปนี้มีอิทธิพลในการซื้อชาพร้อมดื่ม (Ready to drink) ของคุณ มากน้อยเพียงใด โปรดเรียงตามลำดับ โดยไม่ซ้ำกัน [รีวิวจากบล็อกเกอร์สายอาหารและเครื่องดื่ม เช่น กินหนม, ถนัดชิม]",38
บุคคลต่อไปนี้มีอิทธิพลในการซื้อชาพร้อมดื่ม (Ready to drink) ของคุณ มากน้อยเพียงใด โปรดเรียงตามลำดับ โดยไม่ซ้ำกัน [รีวิวจากบล็อกเกอร์สายสุขภาพ/สายคลีน],38
บุคคลต่อไปนี้มีอิทธิพลในการซื้อชาพร้อมดื่ม (Ready to drink) ของคุณ มากน้อยเพียงใด โปรดเรียงตามลำดับ โดยไม่ซ้ำกัน [รีวิวจากบล็อกเกอร์สายไลฟ์สไตล์/บันเทิง เช่น เทพลีลา],38
บุคคลต่อไปนี้มีอิทธิพลในการซื้อชาพร้อมดื่ม (Ready to drink) ของคุณ มากน้อยเพียงใด โปรดเรียงตามลำดับ โดยไม่ซ้ำกัน [เพื่อน ครอบครัว และคนใกล้ตัว],38
คุณซื้อชาพร้อมดื่ม (Ready to drink) จากช่องทางใดบ้าง,38
